created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2023-12-05T23:21:41+00:00,191,21.40000,41.00000,22.10000,41.00000,21.80000,45.00000,,,,
2023-12-05T23:21:56+00:00,192,21.40000,41.00000,22.10000,41.00000,21.80000,45.00000,,,,
2023-12-05T23:22:12+00:00,193,21.30000,41.00000,22.10000,41.00000,21.80000,44.00000,,,,
2023-12-05T23:22:27+00:00,194,21.40000,41.00000,22.10000,41.00000,21.80000,44.00000,,,,
2023-12-05T23:22:43+00:00,195,21.40000,41.00000,22.00000,41.00000,21.70000,44.00000,,,,
2023-12-05T23:22:58+00:00,196,21.30000,42.00000,22.00000,41.00000,21.80000,44.00000,,,,
2023-12-05T23:23:14+00:00,197,21.30000,41.00000,22.00000,41.00000,21.70000,44.00000,,,,
2023-12-05T23:23:29+00:00,198,21.30000,41.00000,22.00000,41.00000,21.70000,43.00000,,,,
2023-12-05T23:23:44+00:00,199,21.30000,42.00000,22.00000,41.00000,21.70000,45.00000,,,,
2023-12-05T23:24:00+00:00,200,21.30000,42.00000,22.00000,42.00000,21.70000,45.00000,,,,
2023-12-05T23:24:15+00:00,201,21.30000,42.00000,22.00000,42.00000,21.70000,46.00000,,,,
2023-12-05T23:24:30+00:00,202,21.30000,42.00000,22.00000,42.00000,21.70000,46.00000,,,,
2023-12-05T23:24:46+00:00,203,21.30000,42.00000,22.00000,42.00000,21.70000,45.00000,,,,
2023-12-05T23:25:01+00:00,204,21.30000,41.00000,22.00000,42.00000,21.70000,45.00000,,,,
2023-12-05T23:25:16+00:00,205,21.30000,42.00000,22.00000,42.00000,21.70000,45.00000,,,,
2023-12-05T23:25:31+00:00,206,21.30000,41.00000,22.00000,41.00000,21.70000,44.00000,,,,
2023-12-05T23:25:47+00:00,207,21.30000,41.00000,22.00000,41.00000,21.70000,44.00000,,,,
2023-12-05T23:26:02+00:00,208,21.30000,41.00000,22.00000,41.00000,21.70000,44.00000,,,,
2023-12-05T23:26:18+00:00,209,21.30000,42.00000,22.00000,41.00000,21.60000,44.00000,,,,
2023-12-05T23:26:33+00:00,210,21.30000,41.00000,22.00000,41.00000,21.60000,44.00000,,,,
2023-12-05T23:26:49+00:00,211,21.30000,41.00000,22.00000,41.00000,21.60000,44.00000,,,,
2023-12-05T23:27:04+00:00,212,21.30000,41.00000,22.00000,41.00000,21.60000,44.00000,,,,
2023-12-05T23:27:19+00:00,213,21.30000,41.00000,22.00000,42.00000,21.60000,44.00000,,,,
2023-12-05T23:27:35+00:00,214,21.30000,41.00000,22.00000,42.00000,21.60000,45.00000,,,,
2023-12-05T23:27:50+00:00,215,21.30000,41.00000,21.90000,41.00000,21.60000,45.00000,,,,
2023-12-05T23:28:05+00:00,216,21.30000,41.00000,21.90000,41.00000,21.60000,45.00000,,,,
2023-12-05T23:28:21+00:00,217,21.20000,41.00000,21.90000,40.00000,21.60000,44.00000,,,,
2023-12-05T23:28:36+00:00,218,21.30000,41.00000,21.90000,40.00000,21.60000,43.00000,,,,
2023-12-05T23:28:51+00:00,219,21.30000,41.00000,21.90000,40.00000,21.60000,44.00000,,,,
2023-12-05T23:29:07+00:00,220,21.20000,42.00000,21.90000,40.00000,21.60000,44.00000,,,,
2023-12-05T23:29:22+00:00,221,21.20000,42.00000,21.90000,41.00000,21.60000,45.00000,,,,
2023-12-05T23:29:38+00:00,222,21.20000,41.00000,21.90000,41.00000,21.60000,44.00000,,,,
2023-12-05T23:29:53+00:00,223,21.20000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:30:08+00:00,224,21.20000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:30:24+00:00,225,21.20000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:30:39+00:00,226,21.20000,41.00000,21.90000,40.00000,21.50000,43.00000,,,,
2023-12-05T23:30:54+00:00,227,21.10000,42.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:31:10+00:00,228,21.20000,41.00000,21.90000,40.00000,21.50000,43.00000,,,,
2023-12-05T23:31:25+00:00,229,21.10000,41.00000,21.90000,39.00000,21.50000,43.00000,,,,
2023-12-05T23:31:40+00:00,230,21.20000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:31:56+00:00,231,21.20000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:32:11+00:00,232,21.10000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:32:26+00:00,233,21.20000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:32:42+00:00,234,21.20000,41.00000,21.90000,39.00000,21.50000,44.00000,,,,
2023-12-05T23:32:57+00:00,235,21.20000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:33:13+00:00,236,21.10000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:33:28+00:00,237,21.10000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:33:43+00:00,238,21.10000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:33:59+00:00,239,21.20000,40.00000,21.90000,39.00000,21.50000,43.00000,,,,
2023-12-05T23:34:14+00:00,240,21.20000,40.00000,21.90000,39.00000,21.50000,43.00000,,,,
2023-12-05T23:34:29+00:00,241,21.10000,42.00000,21.90000,40.00000,21.50000,43.00000,,,,
2023-12-05T23:34:44+00:00,242,21.10000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:35:00+00:00,243,21.10000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:35:15+00:00,244,21.10000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:35:31+00:00,245,21.10000,41.00000,21.90000,40.00000,21.50000,43.00000,,,,
2023-12-05T23:35:46+00:00,246,21.10000,41.00000,21.90000,40.00000,21.50000,43.00000,,,,
2023-12-05T23:36:01+00:00,247,21.10000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:36:17+00:00,248,21.10000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:36:32+00:00,249,21.10000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:36:47+00:00,250,21.10000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:37:03+00:00,251,21.10000,40.00000,21.90000,40.00000,21.50000,43.00000,,,,
2023-12-05T23:37:18+00:00,252,21.10000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:37:33+00:00,253,21.10000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:37:49+00:00,254,21.10000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:38:04+00:00,255,21.10000,41.00000,21.90000,40.00000,21.50000,44.00000,,,,
2023-12-05T23:38:19+00:00,256,21.10000,41.00000,21.90000,40.00000,21.50000,43.00000,,,,
2023-12-05T23:38:35+00:00,257,21.10000,41.00000,21.90000,40.00000,21.50000,43.00000,,,,
2023-12-05T23:38:50+00:00,258,21.10000,40.00000,21.90000,39.00000,21.50000,43.00000,,,,
2023-12-05T23:39:05+00:00,259,21.10000,40.00000,21.90000,39.00000,21.50000,43.00000,,,,
